Page Name	Categories	Subcategories	Tags	Discription	UPC list	Part # list	Extra Info list	color
"2-1/4"" Diameter All Brass Adjustable Spray"	Shower Heads	Adjustable Spray	1.8 GPM, Jewel Series	"All brass shower head in various finishes, adjustable spray with T or L handle, brass ball joint, and 2-1/4"" diameter face.

 "	11003,11004,11031,11033,11015,11017,11014,80025,80026,80029,80019,80028	S182,S182A,S182PBRPVD,S182SNPVD,S182WG,S182BG,S182CG,CS182,CS182A,CS182CG,CS182PBRPVD,CS182SNPVD	 - - - - - - - - - - - - - - - -,Chrome, T-Handle,Chrome, L-Handle,Polished Brass PVD, L-Handle,Satin Nickel PVD, L-Handle,White Gold, L-Handle,Black Gold, L-Handle,Chrome Gold, L-Handle,Chrome, T-Handle, Carded,Chrome, L-Handle,Polished Brass PVD, L-Handle, Carded,Satin Nickel PVD, L-Handle, Carded,Chrome Gold, L-Handle, Carded	
"3"" Diameter All Brass Adjustable Spray"	Shower Heads	Adjustable Spray	1.8 GPM	"Chrome plated all brass shower head, CEC certified, adjustable spray with T or L handle, brass ball joint, and 3"" diameter face. "	11005,11006	S183,S183A	 - - - - - - - - - - - - - - - -,Chrome, T-Handle,Chrome, L-Handle	
All Brass with Adjustable Jets	Shower Heads	Adjustable Spray	1.8 GPM, Jet	"Chrome plated all brass showerhead, with 6 adjustable jets to select spray pattern.
 "	11126	S606	 - - - - - - - - - - - - - - - -,Chrome	
"6"" Plastic Single Function"	Shower Heads	Single Function	1.8 GPM, Plastic	"Plastic shower head, single function, brass ball joint, 6"" diameter showerhead with large clog resistance face. 
 
"	11102,11103	S1070,S1070W	 - - - - - - - - - - - - - - - -,Chrome,White	
"5"" Plastic 5 Function"	Shower Heads	Adjustable Spray	5 Function, Adjustable Spray, 1.75 GPM	"Chrome plated plastic shower head, 5 spray functions, water saver, with brass ball joint and 5"" diameter face. 
 "	11085	S1205	- - - - - - - - - - - - - - - -,Chrome	
"6"" Plastic 5 Function"	Shower Heads	Adjustable Spray	"6""D, 5 Function, 2.0 GPM"	"Chrome plated plastic shower head, 5 spray functions, with brass ball joint and 6"" diameter face. "	11144	S1206	- - - - - - - - - - - - - - - -,Chrome	
"7 1/2"" Plastic Rain Head"	Shower Heads	Rain	Plastic, 2.0 GPM	"Plastic shower head various finishes, rain style, with brass ball joint, and 7-1/2"" clog resistant face. "	11119,11116	S1201,S1201SN	- - - - - - - - - - - - - - - -,Chrome,Satin Nickel	
"7"" Plastic Rain Head"	Shower Heads	Rain	"7""D, Round, 1.75 GPM"	"Plastic shower head various finishes, rain style water saving, with brass ball joint, and 7"" fully finished face with clog resistant nozzles. 

"	11184,11185	S1204,S1204SN	- - - - - - - - - - - - - - - -,Chrome,Satin Nickel	
All Brass Rain Head	Shower Heads	Rain	All Brass, 2.5 GPM, Round, Square	Special order only!  Please contact us for more information.  Chrome plated, all Brass Luxury Rain Shower Head.  2.5 GPM, Shape and size options available.	11187,11188,11189,11190,11195,11196,11197,11198	S706,S708,S710,S712,S712,S718,S720,S722	 - - - - - - - - - - - - - - - -,6 Inch, Round,8 Inch, Round,10 Inch, Round,12 Inch, Round,6 Inch, Square,8 Inch, Square,10 Inch, Square,12 Inch, Square	
Plastic Handheld Single Function	Shower Heads	Hand Held	Single Function, Flow Control, 1.5 GPM	"Plastic handheld shower head in white or chrome, single function spray, with and without flow control, 7"" long. 
 "	11061,11060,11063,11062,80011,80010,80013,80012	PSC110C,PSC100W,PSC210C,PSC200W,CPSC110C,CPSC100W,CPSC210C,CPSC200W	 - - - - - - - - - - - - - - - -,Chrome,White,Chrome, with Flow Control,White, with Flow Control,Chrome, no flow control, Carded,White, no Flow Control, Carded,Chrome, with Flow Control, Carded,White, with Flow Control, Carded	
Plastic Handheld Clog Resistant	Shower Heads	Hand Held	Single Function, 1.8 GPM, Clog Resistant, Plastic	Plastic handheld shower head in white or chrome, single function spray, with and without flow control, with clog resistant nozzles. 	11684,11092,11685,11087,80165	PSC300C,PSC300W,PSC307C,PSC307W,CPSC307W	 - - - - - - - - - - - - - - - -,Chrome,White,Chrome, with Flow Control,White, with Flow Control,White, Carded	
Plastic Handheld Multifunction	Shower Heads	Hand Held	1.5 GPM, Adjustable Spray	Plastic handheld shower head in various finishes, multiple spray functions, water saving with massage feature, and plastic face. 	11094,11095,80153	PSC308C,PSC308SN,CPSC308C	 - - - - - - - - - - - - - - - -,Chrome,Satin Nickel,Chrome, Carded	
Plastic Handheld 3 Function	Shower Heads	Hand Held	5 Function, Adjustable Spray, 1.75 GPM	Hand held shower head in various finishes, 3 adjustable spray functions, and plastic face.  	11097,11159,80164,80242	PSC450,PSC450SN,CPSC450,CPSC450SN	 - - - - - - - - - - - - - - - -,Chrome,Satin Nickel,Chrome, Carded,Satin Nickel, Carded	
Slide Bar Shower Kit	Shower Heads	Hand Held	5 Function, Adjustable Spray, Kit, 2.0 GPM	This personal shower kit includes: (PSSB-002) Slide bar with removable soap dish, (PSH-59-SS) Stainless Steel hose and (PSC450) hand held shower head. 	11158	PSS11	 - - - - - - - - - - - - - - - -,Includes: PSSB002, PSH59-SS, PSC450	
Arm Mount Shower Kit White	Shower Heads	Hand Held	Single Function, 1.5 GPM, Kit, Carded	"This personal shower kit includes: (PSC-100-W) single function white hand held shower head, (PSH-59-VCN) 59"" white vinyl shower hose with chrome plated taper nut, (PSC-401-W) white shower arm mount.  "	80001	CPS1000	- - - - - - - - - - - - - - - -,White	
Arm Mount Shower Kit White with Flow Control	Shower Heads	Hand Held	Single Function, 1.5 GPM, Kit, Carded	"This personal shower kit includes: (PSC200-W) White Handheld shower head with flow control, (PSH59-VCN)  59"" white vinyl hose, (PSC401-W) white shower arm mount with hose connection  "	80002	CPS1100	- - - - - - - - - - - - - - - -,White	
Arm Mount Shower Kit Chrome	Shower Heads	Hand Held	Single Function, 1.5 GPM, Kit, Carded	"This personal shower kit includes: (PSC110-C) hand held shower head, (PSH59-BCP) 59"" chrome plated brass hose, and (PSC401-C) Chrome plated shower arm mount.  "	80003	CPS1200	- - - - - - - - - - - - - - - -,Chrome	
Arm Mount Shower Kit Chrome with Flow Control	Shower Heads	Hand Held	Single Function, 1.5 GPM, Kit, Carded	"This personal shower kit includes: (PSC210-C) Hand Held shower head with pause feature, (PSH59-SN) 59"" satin nickel hose, (PSC401-C) chrome plated shower arm mount. "	80004	CPS1400	- - - - - - - - - - - - - - - -,Chrome	
Arm Mount Shower Kit Chrome & White with Flow Control	Shower Heads	Hand Held	Single Function, 1.5 GPM, Kit	"This personal shower kit includes: (PSC200-W) White hand held shower head, (PSH69-BCP) 69"" Chrome plated brass hose, (PSC402-C) Chrome plated shower arm mount    "	80005	CPS1500WG	 - - - - - - - - - - - - - - - -,White & Chrome	
"Arm Mount Shower Kit with Flow Control & 69"" hose "	Shower Heads	Hand Held	Single Function, 1.5 GPM, Kit, Carded	"This personal shower kit includes: (PSC210-C) Chrome hand held shower head with flow control, (PSH69-BCP) 69"" Chrome plated brass hose, (PSC402-C) Chrome plated shower arm mount. "	80006	CPS1600	- - - - - - - - - - - - - - - -,Chrome	
Wall Mount Shower Kit Chrome	Shower Heads	Hand Held	Single Function, 1.5 GPM, Kit, Carded	"This personal shower kit includes: (PSC210-C) Chrome plated hand held shower head, (PSH59-SS) 59"" Stainless steel hose, (S-338) Chrome shower diverter, (WB-10) Chrome plated wall bracket   "	80171	CPS2100	- - - - - - - - - - - - - - - -,Chrome	
Arm Mount Water Saving Shower Kit	Shower Heads	Hand Held	1.5 GPM, 5 Function, Kit, Water Saving, Carded, Adjustable	This personal shower kit includes: (PSC-450 / PSC-450-SN) Water saving hand held shower head, (PSC-402-C / PSC402-SN) Shower Arm Mount, (PSH-5980-SS / PSH59-SN) Shower hose all packed in a blister pack with product card. 	80008,80018	CPS3800,CPS3800SN	- - - - - - - - - - - - - - - -,Chrome,Satin Nickel	
Arm Mount Shower Kit Chrome with Stretch Hose	Shower Heads	Hand Held	"1.5 GPM, Adjustable Spray, Kit, Carded, 59-80"" hose"	This personal shower kit includes: (PSC-308) chrome plated handheld shower head, (PSH-5980-SS) Stainless Steel stretch hose, (PSC-402-C) Chrome plated shower Arm Mount.  	80009	CPS3805	- - - - - - - - - - - - - - - -,Chrome	
"6"" Shower Arm & Flange   "	Shower Accessories	Shower Arm	Jewel Series, L Shape	"All Brass 6"" shower Arm and matching flange    "	11022,11030,11032,11035,11136,11024,11026,11025,14305,80044,80045,80051,80177	090N,090NPBR,090NPBRPVD,090NSN,090NORB,090NWG,090NBG,090NG,090NMB,C090N,C090NPBRPVD,C090NSN,C090NORB	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass,Polished Brass PVD,Satin Nickel,Satin Nickel,White & Gold,Black & Gold,Gold,Matte Black,Chrome Carded,Polished Brass, Carded,Satin Nickel, Carded,Oil Rubbed Bronze, Carded	
090N-MB	Shower Accessories, Special	Shower Arm	L Shape	"NEW!  Matte Black all Brass 6"" shower Arm and matching flange    "	14305	090NMB	 - - - - - - - - - - - - - - - -,Matte Black	
"6"" Shower Arm"	Shower Accessories	Shower Arm	L Shape	"All Brass 6""L Shower Arm (.056"" / 1.40mm wall thickness)   "	20014,20015	S614,S614PBRPVD	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass PVD	
"8"" Shower Arm"	Shower Accessories	Shower Arm	L Shape	"8""L All Brass Shower Arm (.056"" / 1.4mm wall thickness)     "	20016,20017,20168,80245,80247,80246	S814,S814PBRPVD,S814SN,CS814,CS814PBRPVD,CS814SN	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass,Satin Nickel,Chrome, Carded,Polished Brass, Carded,Satin Nickel, Carded	
"4"" S Shower Arm"	Shower Accessories	Shower Arm	S Shape	"Chrome plated all brass S-Shaped Shower Arm, lifts showerhead by 4""   "	20028	S504	 - - - - - - - - - - - - - - - -,Chrome	
"S Shower Arm Lifts 8"""	Shower Accessories	Shower Arm	S Shape	"All brass S-Shaped Shower Arm fits close to wall, lifts height by 8""   "	20019,20169	S508,S508SN	 - - - - - - - - - - - - - - - -,Chrome,Satin Nickel	
"S Shower Arm Lifts 10"""	Shower Accessories	Shower Arm	S Shape	"Chrome plated all brass S-Shaped Shower Arm fits close to wall, lifts height by 10""    "	20020,80218	S510,CS510	 - - - - - - - - - - - - - - - -,Chrome,Chrome, Carded	
S Shower Arm For Rain Heads	Shower Accessories	Shower Arm	S Shape	"9""H x 18""W  S Shaped Rain Shower Arm, with and without matching flange.   "	11147,11149,11146,11148	S918,S918SN,S9181,S9181SN	 - - - - - - - - - - - - - - - -,Chrome, Includes Flange,Satin Nickel, Includes Flange,Chrome,Satin Nickel	
Shower Arm For Rain Heads	Shower Accessories	Shower Arm		Shower Arm for larger rain shower heads. 	11082	S1100PVD	 - - - - - - - - - - - - - - - -,Polished Brass PVD	
"S Shower Arm Lifts 8"""	Shower Accessories	Shower Arm	S Shape	"Chrome plated all brass S-Shaped Shower Arm 10.5""H to the wall, lifts height by 8""     "	20018	S507	 - - - - - - - - - - - - - - - -,Chrome	
Shower Arm Extension	Shower Accessories	Shower Arm	U Shape	"U-Shaped Shower Arm Extension 8""H x 16""W x 4""T    "	14260,14261	SU16,SU16SN	 - - - - - - - - - - - - - - - -,Chrome,Satin Nickel	
Adjustable Shower Arm	Shower Accessories	Shower Arm	Adjustable	High-Low Shower Arm Adjustable height with wing nut locks   	11118,80240	S518,CS518	 - - - - - - - - - - - - - - - -,Chrome,Chrome, Carded	
Slide Bar with Soap Dish	Shower Accessories	Mount	All Brass, Wall Mount	All Brass Slide Bar for adjustable shower head height featuring a removable Clear Soap Dish   	11098	PSSB002	 - - - - - - - - - - - - - - - -,Chrome	
Duel Shower Arm with Diverter	Shower Accessories	Shower Arm	Flow Control	Dual Shower Arm with Diverter   	11142,11143	S1200,S1200SN	 - - - - - - - - - - - - - - - -,Chrome,Satin Nickel	
"6"" Straight Shower Arm"	Shower Accessories	Shower Arm	Straight	"6"" Straight Shower Arm (1.4MM thickness and 1/2"" MIPS x 1/2"" FIPS)   "	14255,14257	SR06,SR06SN	 - - - - - - - - - - - - - - - -,Chrome,Satin Nickel	
"4"" Straight Shower Arm"	Shower Accessories	Shower Arm	Straight	"4"" Straight Shower Arm, 1/2""M x 1/2""M 1.4MM    "	14258,14259	S40M,S40MSN	 - - - - - - - - - - - - - - - -,Chrome,Satin Nickel	
Swivel Joint	Shower Accessories	Shower Arm		Double Swivel Joint connection fits all standard shower heads, and allows the showerhead to swing twice the distance.    	11049,80221	S170,CS170	 - - - - - - - - - - - - - - - -,Chrome,Chrome, Carded	
Shower Arm Support	Shower Accessories	Mount	Wall Mount	"18"" Shower Arm wall support for long shower arms.   "	14250,14251	WCS18,WCS18SN	 - - - - - - - - - - - - - - - -,Chrome,Satin Nickel	
Shower Arm Flange	Shower Accessories	Flange		"Flange with .875"" ID (7/8"" ID) for 1/2"" nominal pipe size    "	11120,11121,20167	F120,F120PBRPVD,F120SN	 - - - - - - - - - - - - - - - -,Stainless Steel,Polished Brass,Satin Nickel	
Shower Arm Flange with Set Screw	Shower Accessories	Flange		"Die cast, flange with set screw. 7/8"" ID for 1/2"" nominal pipe size.  Smaller ID 13/16"" fits snugly on shower arms.   "	11122,11123,11125,14262,80052,80053,80157,80147	F122,F122PBR,F122S,F122SSN,CF122,CF122PBR,CF122S,CF122SSN	" - - - - - - - - - - - - - - - -,Chrome,Polished Brass,Chrome, 13/16"" ID,Satin Nickel, 13/16"" ID,Chrome, Carded,Polished Brass, Carded,Chrome, 13/16"" ID, Carded,Satin Nickel, 13/16"" ID, Carded"	
Button Toggle Flow Controller 	Shower Accessories	Flow Control	Button	"All brass Water-Saving Flow Control and Shut Off button for Shower Head 1/2"" MIPS, 1/2"" FIPS   "	11007	S335	 - - - - - - - - - - - - - - - -,Chrome	
Twist Knob Flow Control	Shower Accessories	Flow Control		"All brass Water-Saving Flow Control and Shut Off Valve for Shower Head 1/2"" MIPS, 1/2"" FIPS    "	11008,11029,11133,11019,11021,80146,80168,80150	S336,S336PBR,S336SN,S336WG,S336BG,CS336,CS336PBR,CS336SN	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass,Satin Nickel,White Gold,Black Gold,Chrome, Carded,Polished Brass, Carded,Satin Nickel, Carded	
Twist Knob Flow Diverter	Shower Accessories	Diverter	All Brass	"All brass Shower Diverter with turn valve feature 1/2"" MIPS X 1/2"" MIPS    "	11009,11134,80021,80033	S337,S337SN,CS337,CS337SN	 - - - - - - - - - - - - - - - -,Chrome,Satin Nickel,Chrome, Carded,Satin Nickel, Carded	
Push Pull Flow Diverter	Shower Accessories	Diverter	All Brass	"Chrome plated all brass Shower Diverter with 1/2"" Female shower arm outlet, two 1/2"" male connections for shower hose and shower head with pull diverter feature 1/2"" FIP, 1/2"" MIP, 1/2"" MIP    "	11027,11134,80020,80145	S338,S338SNPVD,CS338,CS338SNPVD	 - - - - - - - - - - - - - - - -,Chrome,Satin Nickel,Chrome, Carded,Satin Nickel PVD, Carded	
All Brass Wall Hook	Shower Accessories	Mount	Wall Mount, Hook	All brass shower wall hook with included hardware. 	11064,80023	PSC377C,CPSC377C	 - - - - - - - - - - - - - - - -,Chrome,Chrome, Carded	
All Brass 90 Degree Swivel Joint	Shower Accessories	Mount	All Brass, Hose Connection, Swivel Connector	"Chrome Plated all brass Deluxe Swivel Connector with hose connection  
  "	11065,80022	PSC378C,CPSC378C	 - - - - - - - - - - - - - - - -,Chrome,Chrome, Carded	
Arm Mount Pin	Shower Accessories	Mount	Hose Connection, Arm Mount	Chrome plated Shower Arm Mount with pin and hose connection   	11066,80024	PSC390C,CPSC390C	 - - - - - - - - - - - - - - - -,Chrome,Chrome, Carded	
All Brass 110 Degree Swivel Joint	Shower Accessories	Mount	All Brass, Hose Connection, Swivel Connector, Arm Mount	All Brass 110 Degree Swivel Joint Elbow. Arm mount swivel connector. 	11093,80215	PSC478C,CPSC478C	 - - - - - - - - - - - - - - - -,Chrome,Chrome, Carded	
Personal Shower Arm Mount	Shower Accessories	Mount	Hose Connection, Arm Mount, Bracket	Shower Arm Mount with hose connection    	11075,11074,11076,11096,80076,80077,80078,80079	PSC401C,PSC401W,PSC402C,PSC402SN,CPSC401C,CPSC401W,CPSC402C,CPSC402SN	 - - - - - - - - - - - - - - - -,Chrome,White,Chrome, brass ball joint,Satin Nickel, brass ball joint,Chrome, Carded,White, Carded,Chrome, brass ball joint, Carded,Satin Nickel, brass ball joint, Carded	
Wall Mount Supply Elbow	Shower Accessories	Shower Supply Elbow		90 degree, wall-Mount Shower Supply Elbow     	11130,11131,11132,80154,80156	SE350,SE350PBRPVD,SE350SNPVD,CSE350,CSE350SNPVD	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass PVD,Satin Nickel PVD,Chrome, Carded,Satin Nickel PVD, Carded	
45 Degree Shower Arm Elbow	Shower Accessories	Shower Supply Elbow	Arm Mount	"Shower Arm Elbow with 45 degree angle 1/2"" FIPS, 1/2"" MIPS   "	14252,14253	SE45,SE45SN	 - - - - - - - - - - - - - - - -,Chrome,Satin Nickel	
Personal Shower Wall Mount Bracket	Shower Accessories	Mount	Wall Mount, Bracket	Chrome Plated Wall Bracket / Cradle for Hand Held Shower Head    	14263,80214	WB10,CWB10	 - - - - - - - - - - - - - - - -,Chrome,Chrome, Carded	
Personal Shower Suction Cup Wall Bracket	Shower Accessories	Mount	Wall Mount, Bracket	Chrome Plated Shower Wall Bracket / Hand Held Cradle with Suction Cup   	11091	PSC145	 - - - - - - - - - - - - - - - -,Chrome	
"69"" Shower Hose "	Shower Accessories	Hose		"69"" Shower Head Hose featuring double lock with Chrome plated solid brass nut.    "	11068,11069,80015	PSH69BCP,PSH69SS,CPSH69BCP	 - - - - - - - - - - - - - - - -,Brass, Chrome Plated,Stainless Steel,Brass, Chrome Plated, Carded	
"80"" Shower Hose "	Shower Accessories	Hose		"80"" Shower Head Hose featuring double lock with Chrome plated solid brass nut   "	11072	PSH80SS	 - - - - - - - - - - - - - - - -,Stainless Steel	
"59-80"" Stretch Shower Hose "	Shower Accessories	Hose		"Polished Stainless Steel Shower Head Stretch Hose 59"" to 80""    "	11057,80158	PSH5980SS,CPSH5980SS	 - - - - - - - - - - - - - - - -,(Stainless Steel),Stainless Steel, Carded	
"59"" Shower Hose "	Shower Accessories	Hose		"59"" Shower Head Hose featuring double lock with Chrome plated nut    "	11058,14111,11059,11070,80014,80243,80017	PSH59BCP,PSH59SN,PSH59SS,PSH59VCN,CPSH59BCP,CPSH59SN,CPSH59VCN	 - - - - - - - - - - - - - - - -,Brass Chrome Plated,Satin Nickel,Stainless Steel,White Vinyl,Brass Chrome Plated, Carded,Satin Nickel, Carded,White, Carded	
All Shower Hoses	Shower Accessories	Hose		All our all lengths and materials for our Personal Shower Hoses, on one page.    	11058,80014,14111,80243,11059,11070,80017,11068,11069,11072,11057,80158	PSH59BCP,CPSH59BCP,PSH59SN,CPSH59SN,PSH59SS,PSH59VCN,CPSH59VCN,PSH69BCP,PSH69SS,PSH80SS,PSH5980SS,CPSH5980SS	" - - - - - - - - - - - - - - - -,Brass, Chrome Plated, 59"",Brass, Chrome Plated, 59"", Carded,Satin Nickel, 59"",Satin Nickel, 59"", Carded,Stainless Steel, 59"",White Vinyl, 59"",White Vinyl, 59"", Carded,Brass, Chrome Plated, 69"",Stainless Steel, 69"",Stainless Steel, 80"",Stainless Steel, Stretch 59-80"",Stainless Steel, Stretch 59-80"", Carded"	
Shower Lead Flow Restrictors	Shower Accessories	Parts		Shower head flow restrictors for various shower head styles.    	20144,20139,20137,-----,20138	FR15,FR25,S115FR,S188FR25,S188FR15	 - - - - - - - - - - - - - - - -,Screw in - Green - 1.5 GPM,Screw in - White - 2.5 GPM,Fits S115 Shower Heads - Green - 1.5 GPM,Fits S188 Shower Head - White - 2.5 GPM,Fits S188 Shower Heads - Orange- 1.5 GPM	
Shower Arm Washer	Shower Accessories	Parts		Washer for S170 Shower arms, and S38 series shower heads   	20170	S3870	 - - - - - - - - - - - - - - - -,Washer	
Personal Shower Vacuum Breaker	Shower Accessories	Vacuum breaker		Solid Brass Shower Vacuum Breaker for personal shower hose.    	11077,14097,80148,80149,11117	PSC143,PSC143SN,CPSC143,CPSC143SN,PSC143RK	 - - - - - - - - - - - - - - - -,Chrome,Satin Nickel,Chrome, Carded,Satin Nickel, Carded,Repair Kit	
Vacuum Breaker Repair Kit	Shower Accessories	Parts	Kit	Repair Kit for PSC143 series vacuum breakers.   	11117	PSC143RK	 - - - - - - - - - - - - - - - -,Repair Kit	
"5 1/4"" Nose Mount 1/2"" IPS"	Tub Spout	Filler	"1/2"" IPS, nose mount, Zinc"	"Zinc tub spout with 1/2"" IPS mount
  "	10104,10119,10147,14131,10237,10114,10120,10113,14300,80104,80106,80110,80161,80109,80107	TS137,TS137PBR,TS137PBRPVD,TS137SN,TS137ORB,TS137W,TS137B,TS137G,TS137MB,CTS137,CTS137PBRPVD,CTS137SN,CTS137ORB,CTS137BK,CTS137W	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass,Polished Brass PVD,Satin Nickel,Oil Rubbed Bronze,White,Black,Gold,Matte Black,Chrome, Carded,Polished Brass, Carded,Satin Nickel, Carded,Oil Rubbed Bronze, Carded,Polished Black, Carded,White, Carded	
TS137-MB	Tub Spout, Special	Filler	No Diverter, Zinc	"NEW!  Matte Black zinc tub spout with 1/2"" IPS mount
  "	14300	TS137MB	 - - - - - - - - - - - - - - - -,Matte Black	
"5 1/4"" Nose Mount 3/4"" IPS"	Tub Spout	Filler	"1/2"" IPS, 3/4"" IPS, nose mount, Zinc"	"Zinc tub spout 3/4"" IPS nose mount. TS147-12 for 3/4 or 1/2 ISP with included plastic reducer bushing. "	10153,10157	TS147,TS14712	" - - - - - - - - - - - - - - - -,Chrome,Chrome (Includes reducer bushing for 1/2"" IPS)"	
"5 1/4"" Nose Mount 1/2"" IPS with Diverter"	Tub Spout	Diverter	"Front Diverter, 1/2"" IPS, nose mount, Zinc"	"Zinc tub spout with front diverter & 1/2"" IPS nose mount    "	10101,10108,10146,14130,10238,10109,10122,14301,80090,80091,80092,80098,80162,80097	TS134,TS134PBR,TS134PBRPVD,TS134SN,TS134ORB,TS134W,TS134BG,TS134MB,CTS134,CTS134PBR,CTS134PBRPVD,CTS134SN,CTS134ORB,CTS134W	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass,Polished Brass PVD,Satin Nickel,Oil Rubbed Bronze,White,Black Gold,Matte Black,Chrome, Carded,Polished Brass, Carded,Polished Brass PVD, Carded,Satin Nickel, Carded,Oil Rubbed Bronze, Carded,White, Carded	
TS134-MB	Special, Tub Spout	Diverter	Zinc, nose mount	"NEW!  Matte Black zinc tub spout with front diverter & 1/2"" IPS nose mount    "	14301	TS134MB	 - - - - - - - - - - - - - - - -,Matte Black	
"5 1/4"" Nose Mount 3/4"" IPS with Diverter"	Tub Spout	Diverter	"Front Diverter, 3/4"" IPS, nose mount, Zinc"	"Zinc tub spout with front diverter 3/4"" IPS nose mount   "	10148	TS144	 - - - - - - - - - - - - - - - -,Chrome	
"5 1/4"" Slip Fit 5/8"""	Tub Spout	Filler	"Slip Fit 5/8"" OD, No Diverter, Zinc"	"Zinc tub spout with 5/8"" slip fit OD copper tube   "	10106,10107,80080,80081	TS132,TS132PBR,CTS132,CTS132PBR	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass,Chrome, Carded,Polished Brass, Carded	
"5 1/4"" Slip Fit 5/8"" With Diverter"	Tub Spout	Diverter	"Slip Fit 5/8"" OD, Front Diverter, Zinc"	"Zinc tub spout with front diverter & slip 5/8"" OD copper tube   "	10100,10117,10220,10236,10121,10123,80082,80083,80206	TS133,TS133PBR,TS133SN,TS133ORB,TS133BG,TS133G,CTS133,CTS133PBR,CTS133SN	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass,Satin Nickel,Oil Rubbed Bronze,Black Gold,Gold,Chrome, Carded,Polished Brass, Carded,Satin Nickel, Carded	
"5 1/4"" Rear Mount with Diverter & Shower Connection"	Tub Spout	Diverter	"1/2"" IPS, 3/4"" IPS, Rear Mount, Zinc"	Zinc tub spout with rear mount, with diverter, and top outlet male shower connection   	10102,80099	TS135,CTS135	 - - - - - - - - - - - - - - - -,Chrome,Chrome, Carded	
"5 1/4""  Rear Mount with Diverter"	Tub Spout	Diverter	"1/2"" IPS, 3/4"" IPS, Rear Mount, Zinc"	"Zinc tub spout with diverter, rear mount. 1/2"" or 3/4"" IPS    "	10103,10115,10116,80101,80102,80103	TS136,TS136PBR,TS136W,CTS136,CTS136PBR,CTS136W	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass,White,Chrome, Carded,Polished Brass, Carded,White, Carded	
"5 1/4"" Rear Mount with Diverter & Bottom Shower Connection"	Tub Spout	Diverter	"1/2"" IPS, Rear Diverter, 3/4"" IPS, Rear Mount, Zinc"	"Zinc tub Spout Rear Diverter, rear mount 1/2 or 3/4"" IPS with Bottom Outlet for Personal Shower Connection   "	10105,80111	TS138,CTS138	 - - - - - - - - - - - - - - - -,Chrome,Chrome, Carded	
"5 1/4""  Slip Fit 5/8"" with Diverter and Shower Connection"	Tub Spout	Diverter	"Slip Fit 5/8"" OD, Front Diverter, Zinc"	Zinc tub spout, Front Diverter, Slip fit, with Hand Held Shower Hose Outlet   	10216	TS139	 - - - - - - - - - - - - - - - -,Chrome	
"5 1/4""  Rear Mount with Diverter and Shower Outlet"	Tub Spout	Diverter	"1/2"" IPS, Rear Diverter, 3/4"" IPS, Rear Mount, Zinc"	Zinc tub spout with rear diverter mount and top outlet  	10156	TS145	  - - - - - - - - - - - - - - - -,Chrome	
"5 1/4"" Mixet® Style 4"	Tub Spout	Filler	®Mixet Style 4, No Diverter, Zinc	Zinc tub Spout with (Mixet® Style 4) for 1/2 in. nominal copper pipe (5/8 in. OD) connections   	10232,80175	TS232,CTS232	 - - - - - - - - - - - - - - - -,Chrome,Chrome, Carded	
"5 1/4"" Mixet® Style 4 With Diverter"	Tub Spout	Diverter	Front Diverter, ®Mixet Style 4, Zinc	Zinc tub Spout with Front Diverter (Mixet® Style 4) and for use on 1/2 in. nominal copper pipe (5/8 in. OD) connections   	10234,80176	TS233,CTS233	 - - - - - - - - - - - - - - - -,Chrome,Chrome, Carded	
"6"" Modern Luxury 1-4-All"	Tub Spout	Filler	1-4-All Universal Fit, No Diverter, Zinc	"6"" long, zinc Modern Luxury Tub Spout with 1-4-All Universal Fit   "	10269	TS467	  - - - - - - - - - - - - - - - -,Chrome	
"6"" Modern Luxury 1-4-All with Diverter"	Tub Spout	Diverter	Front Diverter, 1-4-All Universal Fit, Zinc	"6"" long, zinc Modern Luxury Tub Spout with Front Diverter and 1-4-All Universal Fit   "	10268	TS464	  - - - - - - - - - - - - - - - -,Chrome	
"6"" Modern Luxury Slip Fit with Diverter"	Tub Spout	Diverter	"Slip Fit 5/8"" OD, Front Diverter, Zinc"	"6"" Long zinc tub spout with Luxury Design, Slip Fit 5/8"" OD copper tube, and Front Diverter   "	10262	TS333	  - - - - - - - - - - - - - - - -,Chrome	
"6"" Modern Luxury Nose Mount 1/2"" IPS with Diverter"	Tub Spout	Diverter	"Front Diverter, 1/2"" IPS, nose mount, Zinc"	"6"" Long zinc tub spout with luxury design.  Front Diverter and 1/2"" IPS Nose Mount   "	10261	TS334	 - - - - - - - - - - - - - - - -,Chrome	
"6"" Luxury 1-4-All with Diverter"	Tub Spout	Diverter	Front Diverter, 1-4-All Universal Fit, Zinc	"6"" long zinc Luxury Design tub spout.  Front Diverter, and 1-4 All Universal Fit   "	10263	TS364	 - - - - - - - - - - - - - - - -,Chrome	
